date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:41	87185/87185	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Jul%202025%2023:36:55%20GMT	https://www.scoutier.com.ng/	C:/My%20Web%20Sites/his/www.scoutier.com.ng/index.html	(from )
11:55:41	120/120	---M-Z	200	added ('OK')	text/plain	date:Sun,%2020%20Jul%202025%2023:36:55%20GMT	https://www.scoutier.com.ng/robots.txt		(from )
11:55:42	637/637	---M--	200	added ('OK')	image/png	etag:%22474aff023f81135884f826050029d950%22	https://res.cloudinary.com/dib5bkbsy/image/upload/v1732499785/icons8-mail-32_z9jaip.png	C:/My%20Web%20Sites/his/res.cloudinary.com/dib5bkbsy/image/upload/v1732499785/icons8-mail-32_z9jaip.png	(from https://www.scoutier.com.ng/)
11:55:44	149234/149234	---M-Z	200	added ('OK')	text/css	etag:W/%22246f2-yfUdruXd5jE9Clw4UTd9v25TBvM%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css	(from https://www.scoutier.com.ng/)
11:55:44	7648/7648	---M-Z	200	added ('OK')	application/javascript	etag:W/%221de0-lwejC42fG1ckkK3zm8Bek7sal5w%22	https://cdn.jsdelivr.net/npm/canvas-confetti@1.5.1/dist/confetti.browser.min.js	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/canvas-confetti@1.5.1/dist/confetti.browser.min.js	(from https://www.scoutier.com.ng/)
11:55:45	6513/6513	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2019%20Jul%202025%2014:51:34%20GMT	https://www.scoutier.com.ng/js/cookienotice.js	C:/My%20Web%20Sites/his/www.scoutier.com.ng/js/cookienotice.js	(from https://www.scoutier.com.ng/)
11:55:46	570148/570148	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%228b324-gyg/JzZAFK05PCS8T9k7t6sXknI%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.eot?t=1734404658139	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon9711.eot	(from https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css)
11:55:47	176812/176812	---M--	200	added ('OK')	font/woff2	etag:W/%222b2ac-8+x1AL0sYVu6LeiF1GvKqRwgqps%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.woff2?t=1734404658139	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon9711.woff2	(from https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css)
11:55:47	242720/242720	---M--	200	added ('OK')	font/woff	etag:W/%223b420-hLZxx3i/yVKaPELp3W7AwmQ0l64%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.woff?t=1734404658139	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon9711.woff	(from https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css)
11:55:49	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css)
11:55:49	569976/569976	---M-Z	200	added ('OK')	font/ttf	etag:W/%228b278-cDLQuayUOwav9iXownQGGO+G540%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.ttf?t=1734404658139	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon9711.ttf	(from https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css)
11:55:49	2734258/2734258	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2229b8b2-bnpHa4qZy1AafXLJD4d8Ciz7J6U%22	https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.svg?t=1734404658139	C:/My%20Web%20Sites/his/cdn.jsdelivr.net/npm/remixicon/fonts/remixicon9711.svg	(from https://cdn.jsdelivr.net/npm/remixicon/fonts/remixicon.css)
